planner,terrain,density,seed,obsFrac,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
priority,hilly,medium,31026,0,3,2933.75,11.4849154119184,3.82830513730614,86.7077958496915,13,1065.70146337798,0,1,0.00173794404743328,1
priority,hilly,medium,31026,0,4,3077.5,12.3808181217983,3.09520453044959,87.4369040942232,14,1081.95107236787,0,1,0.0909800348100633,0
priority,hilly,medium,31026,0,5,3210,14.1458625471077,2.82917250942154,85.9786876051598,16,1127.51310673967,1,1,8.25998509860061,0
priority,hilly,medium,31026,0,6,3893.75,13.256030743956,2.20933845732601,86.0908581043186,15,1251.89007951164,1,1,8.37397282061479,0
priority,hilly,medium,31026,0,7,3428.75,14.150945357016,2.02156362243086,85.0813236118901,16,1239.34921470566,1,1,8.37137911685328,0
priority,hilly,medium,31026,0,8,3435,14.133242210006,1.76665527625076,85.6421761076837,16,1262.3627912183,1,1,8.38860639417813,0
priority,hilly,medium,31026,0,9,4540,15.9057395599109,1.76730439554566,86.2030286034773,18,1455.67308329546,1,1,8.78299617592167,0
priority,hilly,medium,31026,0,10,3983.75,15.916235664083,1.5916235664083,86.8199663488503,18,1383.85372984993,1,1,8.66483609856922,0
priority,hilly,medium,31027,0,1,6085,10.5715034021066,10.5715034021066,87.2364039955605,12,1054.15650582302,0,1,0.411212273173957,0
priority,hilly,medium,31027,0,2,4183.75,12.3707241678639,6.18536208393195,86.9034406215316,14,1037.6352817888,0,1,0.263073594094969,0
priority,hilly,medium,31027,0,3,3156.25,12.3595223011827,4.1198407670609,85.6270810210877,14,1054.65600507905,0,1,0.14520400117775,1
priority,hilly,medium,31027,0,4,2893.75,11.4854147810731,2.87135369526827,86.0710321864595,13,1074.41222498999,1,1,8.07645555210597,0
priority,hilly,medium,31027,0,5,3037.5,12.3833537585569,2.47667075171139,85.0721420643729,14,1117.46526555525,1,1,8.17428844680884,0
priority,hilly,medium,31027,0,6,3688.75,13.2439905734242,2.20733176223737,86.5704772475028,15,1219.33084534625,1,1,8.37354454209701,0
priority,hilly,medium,31027,0,7,3602.5,13.2388265641346,1.89126093773352,86.6259711431743,15,1254.89110469032,1,1,8.38657603362042,0
priority,hilly,medium,31027,0,8,4775,15.0124453125052,1.87655566406315,85.2941176470588,17,1479.64421437978,1,1,8.78600991199378,0
