terrain,density,seed,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
hilly,high,25213,1,6032.5,10.5764766819297,10.5764766819297,86.0908581043186,12,1066.11810653886,0,1,0.416620786379151,0
hilly,high,25213,2,3818.75,11.473587698504,5.73679384925202,86.6517106001122,13,1061.28203582526,0,1,0.170687547288385,0
hilly,high,25213,3,3116.25,12.3621095143548,4.1207031714516,87.3808188446439,14,1066.259779171,0,1,0.139633005112015,1
hilly,high,25213,4,3111.25,12.3853639618688,3.0963409904672,85.0813236118901,14,1048.45350262338,1,1,8.12377022037884,0
hilly,high,25213,5,3426.25,14.1554013663647,2.83108027327293,86.5956253505328,16,1150.66972858154,1,1,8.38270815321386,0
hilly,high,25213,6,3133.75,13.2614435966123,2.21024059943539,86.2030286034773,15,1163.64198473533,1,1,8.29450591584011,0
hilly,high,25213,7,3397.5,13.2517504696541,1.89310720995059,86.2030286034773,15,1200.5954532977,0,1,0.364611317175693,0
hilly,high,25213,8,3511.25,14.1422375874282,1.76777969842853,86.5956253505328,16,1255.22172926112,1,1,8.49179044814353,0
hilly,high,25213,9,3681.25,14.1540577863552,1.5726730873728,85.6421761076837,16,1324.12435090487,1,1,8.58061970653454,0
hilly,high,25213,10,3526.25,14.1502322293718,1.41502322293718,86.315199102636,16,1367.29408295189,1,1,8.59982824220246,0
hilly,high,25213,11,3500,15.0098205666255,1.3645291424205,86.2591138530566,17,1331.72818405412,1,1,8.62094936852107,0
hilly,high,25213,12,3101.25,14.1626158372673,1.18021798643895,85.530005608525,16,1328.17938145411,1,1,8.5058671149485,0
hilly,high,25214,1,5890,10.5792549218563,10.5792549218563,85.6818181818182,12,1102.35954996199,0,1,0.427115973600852,0
hilly,high,25214,2,3781.25,11.4755718960821,5.73778594804104,87.5,13,1097.42024824863,0,1,0.205054350081705,0
hilly,high,25214,3,2927.5,11.5006741454924,3.83355804849746,85.3977272727273,13,1076.93292651582,0,1,0.0821187604782976,1
hilly,high,25214,4,2751.25,12.3797116437252,3.09492791093131,86.3636363636364,14,1066.62584757926,0,1,0.101288174870538,0
hilly,high,25214,5,3303.75,12.3833232186655,2.47666464373309,85.5681818181818,14,1161.1288411181,1,1,8.24361369761885,0
hilly,high,25214,6,3138.75,13.2626089818359,2.21043483030598,87.1590909090909,15,1210.20731598386,1,1,8.30929458974977,0
hilly,high,25214,7,3550,13.2464663634216,1.89235233763166,86.25,15,1289.90986895531,1,1,8.42127691766097,0
hilly,high,25214,8,3576.25,14.1375820400309,1.76719775500386,85.625,16,1300.30964413312,1,1,8.48264534453742,0
hilly,high,25214,9,3438.75,14.1498552829913,1.57220614255459,86.8181818181818,16,1325.17957723413,1,1,8.48468506872657,0
hilly,high,25214,10,3556.25,14.1531528559651,1.41531528559651,86.4772727272727,16,1367.69043043032,1,1,8.53210340482746,0
